date,num_housing_units,Y,T,D,P
2013-01-01,1699180.0,1699180.0,1,0,0
2013-02-01,1690832.7976190476,1690832.7976190476,2,0,0
2013-03-01,1693231.3333333333,1693231.3333333333,3,0,0
2013-04-01,1698650.6785714286,1698650.6785714286,4,0,0
2013-05-01,1695341.3333333333,1695341.3333333333,5,0,0
2013-06-01,1702170.892857143,1702170.892857143,6,0,0
2013-07-01,1705157.0238095238,1705157.0238095238,7,0,0
2013-08-01,1703654.6547619046,1703654.6547619046,8,0,0
2013-09-01,1700099.6666666667,1700099.6666666667,9,0,0
2013-10-01,1701313.75,1701313.75,10,0,0
2013-11-01,1706605.8333333333,1706605.8333333333,11,0,0
2013-12-01,1708413.0357142857,1708413.0357142857,12,0,0
2014-01-01,1707821.0,1707821.0,13,0,0
2014-02-01,1700738.9166666665,1700738.9166666665,14,0,0
2014-03-01,1711361.4047619046,1711361.4047619046,15,0,0
2014-04-01,1713608.6428571427,1713608.6428571427,16,0,0
2014-05-01,1710164.0666666667,1710164.0666666667,17,0,0
2014-06-01,1715351.0976190476,1715351.0976190476,18,0,0
2014-07-01,1719355.2,1719355.2,19,0,0
2014-08-01,1724546.5523809523,1724546.5523809523,20,0,0
2014-09-01,1722874.1904761903,1722874.1904761903,21,0,0
2014-10-01,1725365.6785714286,1725365.6785714286,22,0,0
2014-11-01,1721653.1666666665,1721653.1666666665,23,0,0
2014-12-01,1722976.0833333333,1722976.0833333333,24,0,0
2015-01-01,1720709.0,1720709.0,25,0,0
2015-02-01,1725733.4166666665,1725733.4166666665,26,0,0
2015-03-01,1731036.8333333333,1731036.8333333333,27,0,0
2015-04-01,1725012.6785714286,1725012.6785714286,28,0,0
2015-05-01,1734835.5,1734835.5,29,0,0
2015-06-01,1733571.0833333333,1733571.0833333333,30,0,0
2015-07-01,1735286.7738095238,1735286.7738095238,31,0,0
2015-08-01,1735795.2023809524,1735795.2023809524,32,0,0
2015-09-01,1739653.6666666665,1739653.6666666665,33,0,0
2015-10-01,1740219.7142857143,1740219.7142857143,34,0,0
2015-11-01,1739554.3095238095,1739554.3095238095,35,0,0
2015-12-01,1744867.3214285714,1744867.3214285714,36,0,0
2016-01-01,1742692.0,1742692.0,37,0,0
2016-02-01,1748197.0858585858,1748197.0858585858,38,0,0
2016-03-01,1745944.1717171718,1745944.1717171718,39,0,0
2016-04-01,1744902.5909090908,1744902.5909090908,40,0,0
2016-05-01,1753984.5656565656,1753984.5656565656,41,0,0
2016-06-01,1756546.695959596,1756546.695959596,42,0,0
2016-07-01,1749779.715151515,1749779.715151515,43,0,0
2016-08-01,1754979.9343434344,1754979.9343434344,44,0,0
2016-09-01,1760497.4646464647,1760497.4646464647,45,0,0
2016-10-01,1754656.2393939393,1754656.2393939393,46,0,0
2016-11-01,1758682.6666666665,1758682.6666666665,47,0,0
2016-12-01,1762417.8696969696,1762417.8696969696,48,0,0
2017-01-01,1767006.0,1767006.0,49,0,0
2017-02-01,1763892.0833333333,1763892.0833333333,50,0,0
2017-03-01,1760822.8333333333,1760822.8333333333,51,0,0
2017-04-01,1769116.5833333335,1769116.5833333335,52,0,0
2017-05-01,1768962.1666666667,1768962.1666666667,53,0,0
2017-06-01,1769473.9166666665,1769473.9166666665,54,0,0
2017-07-01,1767576.1666666667,1767576.1666666667,55,0,0
2017-08-01,1774317.25,1774317.25,56,0,0
2017-09-01,1780533.5,1780533.5,57,0,0
2017-10-01,1781983.9166666667,1781983.9166666667,58,0,0
2017-11-01,1782765.5,1782765.5,59,0,0
2017-12-01,1785373.0833333333,1785373.0833333333,60,0,0
2018-01-01,1787335.0,1787335.0,61,0,0
2018-02-01,1780545.2424242424,1780545.2424242424,62,0,0
2018-03-01,1782228.199134199,1782228.199134199,63,0,0
2018-04-01,1788470.7987012987,1788470.7987012987,64,0,0
2018-05-01,1785593.3982683981,1785593.3982683981,65,0,0
2018-06-01,1796671.2978354977,1796671.2978354977,66,0,0
2018-07-01,1794440.525974026,1794440.525974026,67,0,0
2018-08-01,1794267.696969697,1794267.696969697,68,0,0
2018-09-01,1799872.0393939393,1799872.0393939393,69,0,0
2018-10-01,1802233.348051948,1802233.348051948,70,0,0
2018-11-01,1804188.5268398267,1804188.5268398267,71,0,0
2018-12-01,1793524.9264069262,1793524.9264069262,72,0,0
2019-01-01,1804537.0,1804537.0,73,0,0
2019-02-01,1805444.5642857142,1805444.5642857142,74,0,0
2019-03-01,1808420.0333333332,1808420.0333333332,75,0,0
2019-04-01,1800953.75,1800953.75,76,0,0
2019-05-01,1802822.0952380951,1802822.0952380951,77,0,0
2019-06-01,1808215.526190476,1808215.526190476,78,0,0
2019-07-01,1810062.423809524,1810062.423809524,79,1,1
2019-08-01,1810037.4166666667,1810037.4166666667,80,1,2
2019-09-01,1815744.838095238,1815744.838095238,81,1,3
2019-10-01,1815669.7357142856,1815669.7357142856,82,1,4
2019-11-01,1812755.6333333333,1812755.6333333333,83,1,5
2019-12-01,1816493.4833333332,1816493.4833333332,84,1,6
2020-01-01,1809289.0,1809289.0,85,1,7
2020-02-01,1811826.8333333335,1811826.8333333335,86,1,8
2020-03-01,1817485.8333333333,1817485.8333333333,87,1,9
2020-04-01,1822658.375,1822658.375,88,1,10
2020-05-01,1823948.0833333335,1823948.0833333335,89,1,11
2020-06-01,1817679.4166666665,1817679.4166666665,90,1,12
2020-07-01,1824268.875,1824268.875,91,1,13
2020-08-01,1824804.0833333335,1824804.0833333335,92,1,14
2020-09-01,1825140.4583333333,1825140.4583333333,93,1,15
2020-10-01,1830326.0833333333,1830326.0833333333,94,1,16
2020-11-01,1828236.7083333335,1828236.7083333335,95,1,17
2020-12-01,1827360.75,1827360.75,96,1,18
2021-01-01,1834871.0,1834871.0,97,1,19
2021-02-01,1833954.2393939393,1833954.2393939393,98,1,20
2021-03-01,1834857.4787878788,1834857.4787878788,99,1,21
2021-04-01,1841379.0931818183,1841379.0931818183,100,1,22
2021-05-01,1839511.2075757575,1839511.2075757575,101,1,23
2021-06-01,1840863.571969697,1840863.571969697,102,1,24
2021-07-01,1843214.1363636362,1843214.1363636362,103,1,25
2021-08-01,1844110.8757575757,1844110.8757575757,104,1,26
2021-09-01,1850648.4901515152,1850648.4901515152,105,1,27
2021-10-01,1848580.65,1848580.65,106,1,28
2021-11-01,1846385.496212121,1846385.496212121,107,1,29
2021-12-01,1851511.7606060605,1851511.7606060605,108,1,30
2022-01-01,1854307.0,1854307.0,109,1,31
2022-02-01,1860468.3420434503,1860468.3420434503,110,1,32
2022-03-01,1860021.7557800226,1860021.7557800226,111,1,33
2022-04-01,1862267.701162418,1862267.701162418,112,1,34
2022-05-01,1860166.7668029503,1860166.7668029503,113,1,35
2022-06-01,1865196.1666786917,1865196.1666786917,114,1,36
2022-07-01,1858871.0312650313,1858871.0312650313,115,1,37
2022-08-01,1869250.325865801,1869250.325865801,116,1,38
2022-09-01,1866995.753932179,1866995.753932179,117,1,39
2022-10-01,1867504.4687710437,1867504.4687710437,118,1,40
2022-11-01,1868959.4627104376,1868959.4627104376,119,1,41
2022-12-01,1873986.667548501,1873986.667548501,120,1,42
